class,comment_sentence,labels,types
BlFocusExamples,1 inspect run example,[0 1 0 0 0 0 0],original
BlFocusExamples,2 click one any cell to give it a focus blue border should appear,[0 1 0 0 0 0 0],original
BlFocusExamples,3 navigate with keyboard arrows arrow up down left right,[0 1 0 0 0 0 0],original
BlGeometry,the geometry is used to define the geometry to be drawn and the interaction area.,[0 0 1 0 0 0 1],original
BlGeometryAnchorListener,i am an event listener that listens anchor moved event send by anchor,[0 0 1 0 1 0 1],original
BlGeometryAnchorMoved,i am sent when anchor s position changed,[0 0 1 0 0 0 0],original
BlGeometryElement,i am a root class of geometry elements elements driven by geometry anchors.,[0 0 1 0 1 0 0],original
BlGridLayout,i layout elements in a rectangular grid.,[0 0 1 0 0 0 0],original
BlGridLayout,all children of an element with gridlayout must use gridconstraints that allows users to configure how children are located within grid independently.,[1 0 0 1 0 0 0],original
BlGridLayout,a grid consists of cells that are separated by invisible lines.,[1 0 0 0 0 0 0],original
BlGridLayout,"each line is assigned to an index, meaning that a grid with n columns would have n 1 line.",[1 0 0 0 0 0 0],original
BlGridLayout,"indices lie in closed interval 1, n 1 .",[1 0 0 0 0 0 0],original
BlGridLayout,"grid layout supports fitcontent, matchparent and exact resizing mode of the owner.",[1 0 0 0 0 0 0],original
BlGridLayout,children are allowed to have fitcontent and exact resizing modes.,[1 0 0 0 0 0 0],original
BlGridLayout,because child s matchparent does not make sense in case of grid users should use #fill to declare that child should take all available cell s space.,[1 0 0 0 0 0 0],original
BlGridLayout,"by default grid layout does not specify how many columns and rows exist, instead it tries to compute necessary amount of columns or rows depending on amount of children.",[1 0 0 0 0 0 0],original
BlGridLayout,user can specify amount of columns or rows by sending columncount or rowcount to an instance of grid layout.,[1 0 0 0 0 0 0],original
BlGridLayout,grid layout supports spacing between cells which can be set sending cellspacing message.,[1 0 0 0 0 0 0],original
BlGridLayout,public api and key messages,[0 0 0 0 0 1 0],original
BlGridLayout,rowcount anumber to specify amount of rows,[0 0 0 0 0 1 0],original
BlGridLayout,"alignmargins bounds of each element are extended outwards, according to their margins, before the edges of the resulting rectangle are aligned.",[0 0 0 0 0 1 0],original
BlGridLayout,internal representation and key implementation points.,[1 0 0 0 0 0 0],original
BlGridLayoutArc,i am used by grid layout instead of dictionary of span value key value pair for performance reasons.,[0 0 1 0 0 0 0],original
BlHandlerRegistry,registry,[0 1 0 0 0 0 0],original
BlHeadlessHost,i am a fallback host that is chosen if there are no other available and supported hosts.,[0 0 1 0 1 0 0],original
BlHostPulseLoop,i am the bloc main loop.,[0 0 0 0 1 0 0],original
BlHostPulseLoop,this may be delayed if there are background processes wanting to run to ensure that background calculation of ui elements can complete .,[1 0 0 0 0 0 0],original
BlInfiniteDataSourceCommandType,i am a type of data source update command.,[0 0 0 0 1 0 0],original
BlInfiniteDataSourceCommandType,i suppose to be stateless and therefore immutable.,[1 0 0 0 0 0 0],original
BlInfiniteDataSourceItemRangeMoved,this is a structural change event.,[0 0 1 0 0 0 0],original
BlInfiniteDataSourceItemRangeMoved,sent by,[0 0 0 0 0 0 1],original
BlInfiniteDataSourceItemRangeMoved,blinfinitedatasource,[0 0 0 1 0 0 1],original
BlInfiniteDataSourceItemRangeMoved,infiniteelement datasource,[0 1 0 0 0 0 0],original
BlInfiniteDataSourceItemRangeMoved,addeventhandleron blinfinitedatasourceitemrangemoved,[0 1 0 1 0 0 1],original
BlInfiniteDataSourceItemRangeMoved,"do event self inform item was moved from , event from asstring, to , event to asstring",[0 1 0 0 0 0 0],original
BlInfiniteExampleClassesDataSource,i am a data source of the collection of all classes in the image,[0 0 0 0 1 0 1],original
BlInfiniteItemAnimationsFinished,"i can be used, for example, to delay an action in a data set until currently running animations are complete.",[0 0 1 0 0 0 0],original
BlInfiniteSmoothScrollerAction,i hold information about a smooth scroll request by a smoothscroller.,[0 0 1 1 0 0 1],original
BlKeyCombination,i define an event matching api that allows blshortcuthandler to find the most appropriate shortcut for currently pressed keys.,[0 0 0 1 0 0 0],original
BlKeyCombination,see blkeycombinationvisitor,[0 0 0 1 0 0 0],original
BlLayout,i am the superclass for layouts in bloc and i define the api that a concrete layout needs to implement.,[0 0 0 0 1 0 0],original
BlLayout,i am attached to a bloc element and define the visual structure of that bloc element.,[0 0 1 0 0 0 1],original
BlLayout,layout constraints,[1 0 0 0 0 0 0],original
BlLayout,i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout.,[1 0 0 0 0 0 0],original
BlLayout,"a small set of constraints, like padding, margin or minimal and maximum dimensions, are common among all the layouts.",[1 0 0 0 0 0 0],original
BlLayout,"each layout has a dedicated constraint objects, instance of class bllayoutcommonconstraints , that contain these common constraints.",[1 0 0 0 0 0 0],original
BlLayout,each type of layout can further define its own specific constraints by creating a subclass of class bllayoutconstraints .,[1 0 0 0 0 0 0],original
BlLayout,layout phase in a frame,[1 0 0 0 0 0 0],original
BlLayout,layouting of elements is a phase executed by a space during every frame.,[1 0 0 0 0 0 0],original
BlLayout,"every frame, the space goes through several phases method blspaceframe #initializephases .",[1 0 0 0 0 0 0],original
BlLayout,phases are modeled as subclasses of class blspaceframephase and are executed once per frame.,[1 0 0 0 0 0 0],original
BlLayout,"one of them, class blspaceframelayoutphase , consists in layouting the elements contained in the space.",[1 0 0 0 0 0 0],original
BlLayout,"this is done after events and tasks have been executed, but before the drawing phase.",[1 0 0 0 0 0 0],original
BlLayout,"layouting should to be executed during a frame when various properties like, width, height or position change in any element contained by the space.",[1 0 0 0 0 0 0],original
BlLayout,"however, an important aspect in bloc, is that when one of these properties changes, layouting is not performed immediately.",[1 0 0 0 0 0 0],original
BlLayout,"instead, a layout request is issued by the element whose property changed using the message method blelement #requestlayout .",[1 0 0 0 0 0 0],original
BlLayout,"this has the advantage that if no element request layout, this phase can be skipped.",[1 0 0 0 0 0 0],original
BlLayout,also it does not matter if layout is requeste one or 1000 time only one layout phase is performed improving performance.,[1 0 0 0 0 0 0],original
BlLayout,"hence, in bloc layout is not executed immediately after a property like the width of an element changes.",[1 0 0 0 1 0 0],original
BlLayout,"instead layout is requested and perfomed, if needed, during every frame.",[1 0 0 0 0 0 0],original
BlLayout,"when needing to test layouts, however, it is necessary to apply a layout immediately, instead of waiting for a frame to end.",[1 0 0 0 0 0 0],original
BlLayout,"that can be done using the messafe method blelement #forcelayout this should not be used outside of tests, as it bypasses the normal layouting system from bloc.",[1 0 0 0 0 0 0],original
BlLayout,"however, often elements need to reach and perform actions, when for example their position or extent changes.",[1 0 0 0 0 0 0],original
BlLayout,they can react by requesting another layout.,[1 0 0 0 0 0 0],original
BlLayout,a tipical example is deadling with edges.,[1 0 0 0 0 0 0],original
BlLayout,an edge can be layouted only after the position of the elements that it connects is known.,[1 0 0 0 0 0 0],original
BlLayout,"hence, often the layout needs to be applied twice, or more, during the layouting phase.",[1 0 0 0 0 0 0],original
BlLayout,"the space only allows layout requests during the layouting phase a limited number of times method blspace #computelayout to avoid blocking rendering due to infinite recursions caused by layout requests, or void spending too much time on layouts in a frame.",[1 0 0 0 0 0 0],original
BlLayout,"more technical details can be found in the method method blspace #dolayout , the main entry point for executing the layout phase in a space.",[1 0 0 0 0 0 0],original
BlLayout,performing a layout,[1 0 0 0 0 0 0],original
BlLayout,the space starts the layouting process on the root element of that space.,[1 0 0 0 0 0 0],original
BlLayout,performing the layout on an element consists in executing three main steps,[1 0 0 0 0 0 0],original
BlLayout,measuring bounds,[1 0 0 0 0 0 0],original
BlLayout,this is the first step when performing a layout on an element and consists in determening the measured bounds of that element.,[1 0 0 0 0 0 0],original
BlLayout,each element can decide how it wants to be measured method blelement #onmeasure .,[1 0 0 0 0 0 0],original
BlLayout,by default class blelement delegates the measuring to its layout.,[1 0 0 0 0 0 0],original
BlLayout,layouts should override method bllayout #measure with to implement the actual measuring.,[1 0 0 0 0 0 0],original
BlLayout,normally layouts follow a top to bottom approach they measure the current element and then asks its children to do the measuring.,[1 0 0 0 0 0 0],original
BlLayout,each element has real bounds blelement #bounds and measured bounds blelement #measuredbounds .,[1 0 0 0 0 0 0],original
BlLayout,the real bounds contain the actual position and extent of an element that users of that element should rely on.,[1 0 0 0 0 0 0],original
BlLayout,the measured bounds are used during layouting to hold the new extent of an element.,[1 0 0 0 0 0 0],original
BlLayout,the measuring phase changes only the extent in the measured bounds.,[1 0 0 0 0 0 0],original
BlLayout,after the entire layout phase is completed the real bounds and measured bounds will have the same value.,[1 0 0 0 0 0 0],original
BlLayout,the measured bounds act like a temporary cache for the new bounds of an element.,[1 0 0 0 0 0 0],original
BlLayout,they were introduced to avoid changing the real extent of element while layouting of children is still being performed.,[1 0 0 0 0 0 0],original
BlLayout,todo explain why position is sometime changed in the measured bounds,[1 0 0 0 0 0 0],original
BlLayout,applying the layout,[1 0 0 0 0 0 0],original
BlLayout,commiting changes,[1 0 0 0 0 0 0],original
BlLayout,todo,[1 0 0 0 0 0 0],original
BlLayout,"space starts the measurement process from the root element after measurement it tell children to measure themselves, etc",[1 0 0 0 0 0 0],original
BlLayout,measurement top to bottom though all the composition of elements.,[1 0 0 0 0 0 0],original
BlLayout,this step find the size of an element and sets measuredextent or position sometimes,[1 0 0 0 0 0 0],original
BlLayout,space starts the layout step,[1 0 0 0 0 0 0],original
BlLayout,as we know the size of each child we compute the actual position for each child,[1 0 0 0 0 0 0],original
BlLayout,changes the real extent to measured extent and the real position to the computed layout position,[1 0 0 0 0 0 0],original
BlLayout,elements announce events for position and extent changed,[1 0 0 0 0 0 0],original
BlLayout,without event handlers the layout process is going to happen only once.,[1 0 0 0 0 0 0],original
BlLayout,for example when nodes change the position edges should be updated.,[1 0 0 0 0 0 0],original
BlLayout,layout events,[1 0 0 0 0 0 0],original
BlLayout,todo,[1 0 0 0 0 0 0],original
BlLayout,layout api,[1 0 0 0 0 0 0],original
BlLayout,i define an api of a layout.,[1 0 0 0 0 1 0],original
BlLayout,concrete implementations should focus on measure with and layout in,[1 0 0 0 0 1 0],original
BlLocalImageCacheTest,this class contains tests,[0 0 1 0 0 0 0],original
BlMatrix2D,my components are named according to mathematical convention,[1 0 0 0 0 0 0],original
BlMatrix2D,a21 a22 shx sy,[1 0 0 0 0 0 0],original
BlMatrixDecomposition,for example in case of 2d matrix they are,[1 0 0 0 0 0 0],original
BlMatrixDecomposition,top left 2x2 minor of original matrix,[1 0 0 0 0 0 0],original
BlMatrixDecomposition,perspective,[1 0 0 0 0 0 0],original
BlMatrixTransformation,i am an affine transformation that is directly defined by transformation matrix,[0 0 0 0 1 0 0],original
BlMeasurementUnspecifiedMode,i represent a concrete implementation of unspecified measurement mode.,[0 0 0 0 1 0 0],original
BlMeasurementUnspecifiedMode,for more information see class comment of blmeasurementmode,[0 0 0 1 0 0 0],original
BlMorphicHostSpace,i am a host space created by blmorphichost.,[0 0 0 0 1 0 0],original
BlMorphicWindowOpenedEvent,i am fired by morphic host window when it is opened in the world,[0 0 0 1 1 0 1],original
BlMouseMiddleButton,i am a middle mouse button.,[0 0 0 0 1 0 0],original
BlMouseMoveEvent,the mouse move event is fired when a pointing device usually a mouse is moved while over an element.,[0 0 0 0 0 0 1],original
BlMouseProcessor,i am an event processor.,[0 0 0 0 1 0 0],original
BlMouseProcessor,"for example, i generate events like click, dbl click, drag&drop, .",[0 1 0 0 0 0 0],original
BlPerpendicularFractionAnchor,i am a virtual anchor that lays on a perpendicular to a line between two reference anchors.,[0 0 1 0 1 0 0],original
BlPerpendicularFractionAnchor,the curvature distance from the line connecting reference anchors is defined as a fraction curvaturefraction of a length between anchors.,[1 0 0 0 0 0 0],original
BlPolygon,10@50.,[0 1 0 0 0 0 0],original
BlPolygon,150@40.,[0 1 0 0 0 0 0],original
BlPolygon,80@140,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,"the goal of this tutorial is to create an element with an arrow like pointer in the middle of the top edge, as shown below",[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,"a traditional way to implement such geometry is to create a subclass of class blgeometry , override method blgeometry #buildpathonspartacanvas and implement quite cumbersome algorithm that computes the location of each point and then connects those points using moveto and lineto commands provided by pathbuilder .",[0 1 0 1 0 0 0],original
BlRectangleShapeWithArrowExplanation,"even more compex would be to implement the support for positioning the arrow on different edges eg left, bottom or an ability to have multiple arrows on separate edges.",[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,creating a rectangle shape,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,example blrectangleshapewitharrowexplanation #rectangleshape previewshow #gtlivefor previewexpanded true previewheight 250,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,in order to give the arrow pointing up enough space we should move the top edge of the rectangle down by the length of the arrow.,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,injecting a line inside of the top edge,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,it can be done by sending method bllineshape #injectlineat length to the topedge .,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,example blrectangleshapewitharrowexplanation #rectanglewithtopinjectedline previewshow #gtlivefor previewexpanded true previewheight 250,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,splitting the injected line,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,we are almost ready to create a rectangular arrow.,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,we just need to split an injected line in half in order to create the top corner of the rectangle.,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,we can do so by sending a method bllineshape #splitat to the now middle section of the topedge which was created by the previous line injection step,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,example blrectangleshapewitharrowexplanation #rectanglewithtoppolylinesplitinhalf previewshow #gtlivefor previewexpanded true previewheight 250,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,moving the top of the triangle,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,once we have everything we need for the arrow triangle we can move it s top up by the length of the arrow.,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,to do so we should send method blpointshape #moveby to the connection point of the splitted line in the middle of the topedge .,[0 1 0 0 0 0 0],original
BlRectangleShapeWithArrowExplanation,after doing so we receive the expected vector shape we we can later use together with class blshapegeometry,[0 1 0 1 0 0 0],original
BlRectangleShapeWithArrowExplanation,example blrectangleshapewitharrowexplanation #rectanglewithtoparrow previewshow #gtlivefor previewexpanded true previewheight 250,[0 1 0 0 0 0 0],original
BlScalableFitHeightStrategy,i make sure that content element fits vertically within scalable element.,[0 0 1 0 0 0 0],original
BlScalableFitWidthStrategy,i make sure that content element fits horizontally within scalable element.,[0 0 1 0 0 0 0],original
BlSelection,i represent a text selection defined as interval from^^^to,[0 0 0 0 1 0 0],original
BlSpaceEventExamples,i contain examples of space related events,[0 0 1 0 0 0 0],original
BlSpaceFramePhase,i represent a frame phase.,[0 0 0 0 1 0 0],original
BlSpaceFramePhase,each phase knows about its start time and send a corresponding event once the phase is completed.,[0 0 1 0 0 0 0],original
BlSpartaMozSkiaCanvasBuilder,i am a copy of class blspartamozcanvasbuilder.,[0 0 0 0 1 0 0],original
BlSpartaMozSkiaCanvasBuilder,i build sparta canvas using moz2d backend,[0 0 1 0 0 0 0],original
BlTextBackgroundAttribute,i represent a text background attribute.,[0 0 0 0 1 0 0],original
BlTextBackgroundAttribute,i am used together with brtext and brtextstyler to style text.,[0 0 1 0 0 0 1],original
BlTextBackgroundAttribute,public api and key messages,[0 0 0 0 0 1 0],original
BlTextBackgroundAttribute,paint set background paint,[0 0 0 0 0 1 0],original
BlTextBackgroundAttribute,brtextbackgroundattribute paint color yellow,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,text measurement strategies,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,"class bltextelement provides different text measurement strategies, each suitable for a specific use case.",[0 0 0 0 0 0 1],original
BlTextElementMeasurementStrategyExamples,"there is no perfect strategy, therefore understanding the differences between them is an important step in learning how to work with text in bloc.",[0 1 0 0 0 0 1],original
BlTextElementMeasurementStrategyExamples,label measurement,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,the height of the text element in this case is a sum of ascent and descent which is given by the font.,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,it means that the height of the text is independent from the content.,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,the width is given by the exact bounds of the element s text.,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,"please note, that since the width is precise and depends on the content, whitespace is not taken into account when computing the width of the text element.",[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,example bltextelementmeasurementstrategyexamples #textelementwithlabelmeasurement nocode previewshow #gtlivefor previewheight 100,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,editor measurement,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,a similar measurement strategy which is designed to be used in a text editor computes the width of the element using the #advance property of a text paragraph.,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,the height is computed as a sum of ascent and descent.,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,method bltextelement #editormeasurement,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,example bltextelementmeasurementstrategyexamples #textelementwitheditormeasurement nocode previewshow #gtlivefor previewheight 100,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,precise measurement,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,"however, sometimes we want to know the exact and precise text bounds.",[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,method bltextelement #tightmeasurement does exactly that and clips off any white space surrounding the text.,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,"it may be useful for displaying a short piece of a text, usually a word centered within a larger element.",[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,example bltextelementmeasurementstrategyexamples #textelementwithtightmeasurement nocode previewshow #gtlivefor previewheight 75,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,conslusion,[0 1 0 0 0 0 0],original
BlTextElementMeasurementStrategyExamples,example bltextelementmeasurementstrategyexamples #measurementdifference nocode previewshow #gtlivefor previewheight 220,[0 1 0 0 0 0 0],original
BlTextUnderlineAttribute,i represent a text underline attribute.,[0 0 0 0 1 0 0],original
BlUniverseEvent,i am an event that is sent to the universe by the host to control the universe s lifecycle,[0 0 0 1 1 0 1],original
BrExampleColoredElementStencil,i am an example of a custom stencil that creates a rounded rectangular element with cusomizable background color and corner radius,[0 0 1 0 1 1 0],original
BrExamplesShowroom,i am a collection of showroom examples.,[0 0 0 0 1 0 0],original
BrExamplesShowroom,in the example below we show all existing button styles,[0 1 0 0 0 0 0],original
BrExamplesShowroom,"the following glamorous button reacts to various ui interaction events and changes its style according the state pressed, hovered",[0 1 0 0 0 0 0],original
BrExamplesShowroom,example brexamplesshowroom #glamorousbutton,[0 1 0 0 0 0 0],original
BrExamplesShowroom,button can also be disabled to prevent click events,[0 1 0 0 0 0 0],original
BrExamplesShowroom,example brexamplesshowroom #glamorousdisabledbutton,[0 1 0 0 0 0 0],original
BrExamplesShowroom,toggles,[0 1 0 0 0 0 0],original
BrExamplesShowroom,labelled toggle,[0 1 0 0 0 0 0],original
BrExamplesShowroom,to create a toggle button with a label user should the corresponding class brmaterialtogglewithiconlook,[0 1 0 0 0 0 0],original
BrExamplesShowroom,example brexamplesshowroom #materiallabeltoggle,[0 1 0 0 0 0 0],original
BrExamplesShowroom,iconified toggle,[0 1 0 0 0 0 0],original
BrExamplesShowroom,example brexamplesshowroom #materialicontoggle,[0 1 0 0 0 0 0],original
BrExamplesShowroom,we can compose label and icon looks to create a toggle button with both label and the icon.,[0 1 0 0 0 0 0],original
BrExamplesShowroom,note that the order of looks defines the visual order of the label and icon,[0 1 0 0 0 0 0],original
BrExamplesShowroom,example brexamplesshowroom #materialtoggle,[0 1 0 0 0 0 0],original
BrExamplesShowroom,thus being said by swapping the label and icon look we can move the icon to the right from the label,[0 1 0 0 0 0 0],original
BrExamplesShowroom,example brexamplesshowroom #materialreversedtoggle,[0 1 0 0 0 0 0],original
BrExamplesShowroom,accordion,[0 1 0 0 0 0 0],original
BrExamplesShowroom,tabs,[0 1 0 0 0 0 0],original
BrExamplesShowroom,the content of each tab is defined with the help of a stencil.,[0 1 0 0 0 0 0],original
BrExamplesShowroom,toolbar,[0 1 0 0 0 0 0],original
BrExamplesShowroom,the toolbar is a logical set of action buttons either labelled or iconified .,[0 1 0 0 0 0 0],original
BrExamplesShowroom,example brexamplesshowroom #glamoroustoolbar,[0 1 0 0 0 0 0],original
BrExamplesShowroom,example brexamplesshowroom #materialtoolbar,[0 1 0 0 0 0 0],original
BrExamplesShowroom,list,[0 1 0 0 0 0 0],original
BrGlamorousIcons,you can import new icons using method name brglamorousicons class #importiconsfromdirectory using the script below.,[1 0 1 0 0 0 0],original
BrGlamorousIcons,it imports all png files and creates class methods with the same name.,[0 1 1 0 0 0 0],original
BrGlamorousIcons,brglamorousicons importiconsfromdirectory .,[0 1 0 0 0 0 0],original
BrGlamorousIcons,gt icons asfilereference,[0 1 0 0 0 0 0],original
BrGlamorousIcons,here is a list of available icons,[0 0 0 0 0 1 0],original
BrLook,i define how widgets look.,[0 0 1 0 0 0 0],original
BrMaterialToggleBackgroundLook,i describe how background of a material toggle button changes due to toggle events,[0 0 1 0 0 0 0],original
BrPagerPagePreviewResizeListener,i update the size of a page preview element in a scroll bar according to the size of a corresponding page,[0 0 1 0 0 0 0],original
BrSelectionRequest,i am sent by a look to request selection update from the view model,[0 0 1 0 0 0 0],original
BrTabAddedEvent,i am sent when a new tab is added to class brtabgroupmodel,[0 0 1 1 0 0 1],original
BrTextEditor,the moldable editor,[0 0 0 0 1 0 0],original
BrTextEditor,"i edit text and provide high level abstractions of essential text editor functionality such as selection, cursor, text insertions and deletions.",[0 0 1 0 0 0 0],original
BrTextEditor,i make use of class brtextadornmentattribute to augment text with visual elements.,[0 0 0 1 0 0 1],original
BrTextEditorCursorElementRemovedEvent,i am sent by the text editor element when an element playing a role of the cursor is removed from the editor,[0 0 1 0 1 0 0],original
BrTextEditorExamples,today we will learn how to compose an editor,[0 0 1 0 0 0 0],original
