class,comment_sentence,labels,types
BaseCommand,"sql statements, will be wrapped in begin and commit .",[1 0 0 0 0],original
BaseCommand,4,[1 0 0 0 0],original
BaseCommand,if handle or execute raised any exception eg,[1 0 0 0 0],original
BaseCommand,"commanderror , run from argv will instead print an error",[1 0 0 0 0],original
BaseCommand,message to stderr .,[1 0 0 0 0],original
BaseCommand,"thus, the handle method is typically the starting point for",[0 0 1 0 0],original
BaseCommand,subclasses many built in commands and command types either place,[0 0 1 0 0],original
BaseCommand,"all of their logic in handle , or perform some additional",[0 0 1 0 0],original
BaseCommand,parsing work in handle and then delegate from it to more,[0 0 1 0 0],original
BaseCommand,specialized methods as needed.,[0 0 1 0 0],original
BaseCommand,several attributes affect behavior at various steps along the way,[0 1 0 0 0],original
BaseCommand,help,[0 1 0 0 0],original
BaseCommand,"a short description of the command, which will be printed in",[0 1 0 0 0],original
BaseCommand,output transaction,[0 1 0 0 0],original
BaseCommand,a boolean indicating whether the command outputs sql,[0 1 0 0 0],original
BaseCommand,"statements if true , the output will automatically be",[0 1 0 0 0],original
BaseCommand,wrapped with begin and commit .,[0 1 0 0 0],original
BaseCommand,requires migrations checks,[0 1 0 0 0],original
BaseCommand,migrations on disk don t match the migrations in the database.,[0 1 0 0 0],original
BaseCommand,"a boolean if true , entire django project will be checked for errors",[0 1 0 0 0],original
BaseCommand,prior to executing the command.,[0 1 0 0 0],original
BaseCommand,to validate an individual application s models,[0 1 0 0 0],original
BaseCommand,"self^check app configs from handle , where app configs",[0 1 0 0 0],original
BaseCommand,app registry.,[0 1 0 0 0],original
BaseDatabaseSchemaEditor,this class and its subclasses are responsible for emitting schema changing,[0 0 1 0 1],original
BaseDatabaseSchemaEditor,"statements to the databases model creation removal alteration, field",[0 0 1 0 1],original
BaseDatabaseSchemaEditor,"renaming, index fiddling, and so on.",[0 0 1 0 1],original
BaseExpression,base class for all query expressions.,[0 0 0 0 1],original
BaseUpdateView,base view for updating an existing object.,[0 0 0 0 1],original
BaseUpdateView,using this base class requires subclassing to provide a response mixin.,[0 0 1 0 0],original
BaseYearArchiveView,list of objects published in a given year.,[0 0 0 0 1],original
BCryptSHA256PasswordHasher,secure password hashing using the bcrypt algorithm recommended,[0 0 0 0 1],original
BCryptSHA256PasswordHasher,this is considered by many to be the most secure algorithm but you,[1 0 0 0 0],original
BCryptSHA256PasswordHasher,must first install the bcrypt library.,[1 0 0 0 0],original
BoundWidget,a container class used for iterating over widgets.,[0 0 0 0 1],original
BoundWidget,this is useful for,[0 0 1 0 0],original
BoundWidget,widgets that have choices.,[0 0 1 0 0],original
BoundWidget,"for example, the following can be used in a",[1 0 0 0 0],original
BoundWidget,template,[1 0 0 0 0],original
BoundWidget,% for radio in myform^beatles %,[1 0 0 0 0],original
BoundWidget,label for radio^id for label,[1 0 0 0 0],original
BoundWidget,radio^choice label,[1 0 0 0 0],original
BoundWidget,span class radio radio^tag span,[1 0 0 0 0],original
BoundWidget,label,[1 0 0 0 0],original
BoundWidget,% endfor %,[1 0 0 0 0],original
CacheHandler,a cache handler to manage access to cache instances.,[0 0 0 0 1],original
CacheHandler,ensure only one instance of each alias exists per thread.,[0 0 0 1 0],original
Choices,class for creating enumerated choices.,[0 1 0 0 1],original
ChunkIter,an iterable that will yield chunks of data.,[0 0 0 0 1],original
ChunkIter,given a file like object as the,[0 0 0 1 0],original
Client,a class that can act as a client for testing purposes.,[0 0 0 0 1],original
Client,"it allows the user to compose get and post requests, and",[0 0 0 1 0],original
Client,the server response objects are annotated with the details,[0 0 0 1 0],original
Client,process of serving the request.,[0 0 0 1 0],original
Client,thus session details for the lifetime of the client instance.,[0 0 0 1 0],original
Client,this is not intended as a replacement for twill selenium or,[0 0 1 0 0],original
Client,"contexts and templates produced by a view, rather than the",[0 0 1 0 0],original
Client,html rendered to the end user.,[0 0 1 0 0],original
Combinable,provide the ability to combine one or two objects with,[0 0 0 0 1],original
Combinable,some connector.,[0 0 0 0 1],original
Combinable,for example f foo f bar .,[1 0 0 0 0],original
ConsoleDirective,the second tab shows a windows command line equivalent of the usual,[0 0 0 0 1],original
CustomArticleAdmin,tests various hooks for using custom templates and contexts.,[0 0 0 0 1],original
CustomCacheKeyValidationTests,tests for the ability to mixin a custom validate key method to,[0 0 0 0 1],original
CustomCacheKeyValidationTests,"backend, and override the default key validation.",[0 0 0 1 0],original
CustomHeaderRemoteUserTest,tests a custom remoteusermiddleware subclass with custom http auth user,[0 1 0 0 1],original
DatabaseReceiver,used in the tests for the database argument in signals #13552,[0 0 0 0 1],original
DblFromGeom,in by reference as the last argument.,[0 1 0 0 0],original
DisallowedModelAdminToField,invalid to field was passed to admin view via url query string,[0 0 0 0 1],original
DjangoHTMLTranslator,django specific rest to html tweaks.,[0 0 0 0 1],original
EarliestOrLatestTests,tests for the earliest and latest objects methods,[0 0 0 0 1],original
ErrorDict,a collection of errors that knows how to display itself in various formats.,[0 0 0 0 1],original
ExceptionThatFailsUnpickling,"after pickling, this class fails unpickling with an error about incorrect",[0 0 0 0 1],original
ExceptionThatFailsUnpickling,arguments passed to init .,[0 0 0 0 1],original
FakePayload,a wrapper around bytesio that restricts what can be read since data from,[0 0 0 0 1],original
FakePayload,the network can t be sought and cannot be read outside of its content,[0 0 0 0 1],original
FakePayload,length.,[0 0 0 0 1],original
FakePayload,this makes sure that views can t do anything under the test client,[0 0 0 1 0],original
FallbackStorage,try to store all messages in the first backend.,[0 0 0 1 0],original
FallbackStorage,store any unstored,[0 0 0 1 0],original
FallbackStorage,messages in each subsequent backend.,[0 0 0 1 0],original
FootNote,model added for ticket 19838,[0 0 1 0 0],original
FrenchTestCase,tests using the french translations of the sampleproject.,[0 0 0 0 1],original
Group,table column fields,[0 0 0 0 1],original
GZipMiddleware,on the accept encoding header.,[0 0 0 0 1],original
HiddenRangeWidget,a widget that splits input into two input type hidden inputs.,[0 0 0 0 1],original
ImageFileDescriptor,"just like the filedescriptor, but for imagefields.",[0 0 0 0 1],original
ImageFileDescriptor,the only difference is,[0 0 0 1 0],original
ImageFileDescriptor,"assigning the width height to the width field height field, if appropriate.",[0 0 0 1 0],original
IncompleteCategoryFormWithExclude,a form that replaces the model s url field with a custom one.,[0 0 0 0 1],original
Individual,a model with a fk to itself.,[0 0 0 0 1],original
Individual,related instances rendering will be called programmatically in this case .,[1 0 1 0 0],original
InputStreamExhausted,no more reads are allowed from this device.,[0 0 0 1 1],original
InvalidBasesError,a model s base classes can t be resolved.,[0 0 0 0 1],original
KMLSitemap,a minimal hook to produce kml sitemaps.,[0 0 0 0 1],original
ListMixin,a base class which provides complete list interface.,[0 0 0 0 1],original
ListMixin,derived classes must call listmixin s init function,[0 0 0 1 0],original
ListMixin,and implement the following,[0 0 0 1 0],original
ListMixin,"function get single external self, i",[0 0 0 1 0],original
ListMixin,return single item with index i for general use.,[0 0 0 1 0],original
ListMixin,the index i will always satisfy 0 i len self .,[0 0 0 1 0],original
ListMixin,"function get single internal self, i",[0 0 0 1 0],original
ListMixin,"same as above, but for use within the class optional",[0 0 0 1 0],original
ListMixin,note that if get single internal and get single internal return,[0 0 0 1 0],original
ListMixin,"different types of objects, set list must distinguish",[0 0 0 1 0],original
ListMixin,between the two and handle each appropriately.,[0 0 0 1 0],original
ListMixin,"function set list self, length, items",[0 0 0 1 0],original
ListMixin,recreate the entire object.,[0 0 0 1 0],original
ListMixin,note items may be a generator which calls get single internal.,[0 0 0 1 0],original
ListMixin,"therefore, it is necessary to cache the values in a temporary",[0 0 0 1 0],original
ListMixin,temp list items,[0 0 0 1 0],original
ListMixin,before clobbering the original storage.,[0 0 0 1 0],original
ListMixin,"function set single self, i, value",[0 0 0 1 0],original
ListMixin,set the single item at index i to value optional,[0 0 0 1 0],original
ListMixin,"if left undefined, all mutations will result in rebuilding",[0 0 0 1 0],original
ListMixin,the object using set list.,[0 0 0 1 0],original
ListMixin,function len self,[0 0 0 1 0],original
ListMixin,return the length,[0 0 0 1 0],original
ListMixin,int minlength,[0 0 0 1 0],original
ListMixin,the minimum legal length optional,[0 0 0 1 0],original
ListMixin,int maxlength,[0 0 0 1 0],original
ListMixin,the maximum legal length optional,[0 0 0 1 0],original
ListMixin,type or tuple allowed,[0 0 0 1 0],original
ListMixin,a type or tuple of allowed item types optional,[0 0 0 1 0],original
LogoutThenLoginTests,tests for the logout then login view,[0 0 0 0 1],original
MakeListTests,"the make list filter can destroy existing escaping, so the results are",[0 0 0 1 0],original
MakeListTests,escaped.,[0 0 0 1 0],original
ManagementForm,keep track of how many form instances are displayed on the page.,[0 0 0 0 1],original
MemcachedCache,an implementation of a cache binding using python memcached,[0 0 0 0 1],original
MemoryFileUploadHandler,file upload handler to stream uploads into memory used for small files .,[0 0 0 0 1],original
Migration,the base class for all migrations.,[0 0 0 0 1],original
Migration,it will have one or more,[1 1 0 0 0],original
Migration,of the following attributes,[1 1 0 0 0],original
Migration,"operations a list of operation instances, probably from django^db.migrations^operations",[1 1 0 0 0],original
Migration,"dependencies a list of tuples of app path, migration name",[1 1 0 0 0],original
Migration,"run before a list of tuples of app path, migration name",[1 1 0 0 0],original
Migration,replaces a list of migration names,[1 1 0 0 0],original
MigrationGraph,represent the digraph of all migrations in a project.,[0 0 0 0 1],original
MigrationGraph,"each migration is a node, and each dependency is an edge.",[0 0 1 0 0],original
MigrationGraph,there are,[0 0 1 0 0],original
MigrationGraph,no implicit dependencies between numbered migrations the numbering is,[0 0 1 0 0],original
MigrationGraph,merely a convention to aid file listing.,[0 0 1 0 0],original
MigrationGraph,migrations files can be marked as replacing another set of migrations,[1 0 0 0 0],original
MigrationGraph,the graph handler isn t responsible,[1 0 0 0 0],original
MigrationGraph,migration files and if the replaced migrations are all either unapplied,[1 0 0 0 0],original
MigrationGraph,"replacing migration, and repoint any dependencies that pointed to the",[1 0 0 0 0],original
MigrationLoader,"on initialization, this class will scan those directories, and open and",[0 0 0 1 0],original
MigrationLoader,inherit from django^db.migrations^migration.,[0 0 0 1 0],original
MigrationLoader,django^db.migrations^migration for what that looks like.,[0 0 0 1 0],original
MigrationLoader,these are loaded into a separate set of migrations away from the main ones.,[0 0 0 1 0],original
MigrationLoader,"disk, then they are injected into the main set, replacing the named migrations.",[0 0 0 1 0],original
MigrationLoader,new migration.,[0 0 0 1 0],original
MigrationLoader,"to disk, but this is probably fine.",[1 0 0 0 0],original
MigrationLoader,in memory.,[1 0 0 0 0],original
ModelSignal,of the app label^modelname form.,[0 0 0 0 1],original
MultiPartParser,multivaluedict^parse reads the input stream in chunk size chunks,[0 0 1 0 0],original
MultiPartParser,"and returns a tuple of multivaluedict post , multivaluedict files .",[0 0 1 0 0],original
MultiValueDict,a subclass of dictionary customized to handle multiple values for the,[0 0 0 0 1],original
MultiValueDict,same key.,[0 0 0 0 1],original
MultiValueDict,"d multivaluedict name adrian , simon , position developer",[1 0 0 0 0],original
MultiValueDict,simon,[1 0 0 0 0],original
MultiValueDict,d^getlist doesnotexist,[1 0 0 0 0],original
MultiValueDict,"d^get lastname , nonexistent",[1 0 0 0 0],original
MultiValueDict,nonexistent,[1 0 0 0 0],original
MultiValueDict,"d^setlist lastname , holovaty , willison",[1 0 0 0 0],original
MultiValueField,aggregate the logic of multiple fields.,[0 0 0 0 1],original
MultiValueField,"its clean method takes a decompressed list of values, which are then",[0 0 0 1 0],original
MultiValueField,cleaned into a single value according to self^fields.,[0 0 0 1 0],original
MultiValueField,each value in,[0 0 0 1 0],original
MultiValueField,this list is cleaned by the corresponding field the first value is,[0 0 0 1 0],original
MultiValueField,"cleaned by the first field, the second value is cleaned by the second",[0 0 0 1 0],original
MultiValueField,"field, etc once all fields are cleaned, the list of clean values is",[0 0 0 1 0],original
MultiValueField,compressed into a single value.,[0 0 0 1 0],original
MultiWidget,a widget that is composed of multiple widgets.,[0 0 0 0 1],original
MultiWidget,"in addition to the values added by widget^get context , this widget",[0 0 0 1 0],original
MultiWidget,adds a list of subwidgets to the context as widget subwidgets .,[0 0 0 1 0],original
MultiWidget,these can be looped over and rendered like normal widgets.,[0 0 0 1 0],original
MyModel,model subclass with a custom base using metaclass.,[0 0 0 0 1],original
NestedObjectsTests,tests for nestedobject utility collection.,[0 0 0 0 1],original
Operation,base class for migration operations.,[0 0 0 0 1],original
Operation,it s responsible for both mutating the in memory model state,[0 0 0 1 0],original
Operation,"see db migrations state^py to represent what it performs, as well",[0 0 0 1 0],original
Operation,as actually performing it against a live database.,[0 0 0 1 0],original
OverwritingStorage,overwrite existing files instead of appending a suffix to generate an,[0 0 0 0 1],original
OverwritingStorage,unused name.,[0 0 0 0 1],original
ParentWithDependentChildren,model where the validation of child foreign key relationships depends,[0 0 0 0 1],original
ParentWithDependentChildren,on validation of the parent,[0 0 0 0 1],original
Permission,the permissions system provides a way to assign permissions to specific,[0 0 0 0 1],original
Permission,users and groups of users.,[0 0 0 0 1],original
Permission,"the permission system is used by the django admin site, but may also be",[1 0 0 0 0],original
Permission,useful in your own code.,[1 0 0 0 0],original
Permission,the django admin site uses permissions as follows,[1 0 0 0 0],original
Permission,the add permission limits the user s ability to view the add form,[1 0 0 0 0],original
Permission,and add an object.,[1 0 0 0 0],original
Permission,the change permission limits a user s ability to view the change,[1 0 0 0 0],original
Permission,"list, view the change form and change an object.",[1 0 0 0 0],original
Permission,the delete permission limits the ability to delete an object.,[1 0 0 0 0],original
Permission,the view permission limits the ability to view an object.,[1 0 0 0 0],original
Permission,the permissions listed above are automatically created for each model.,[0 0 0 1 0],original
ProxyModelInheritanceTests,proxy model inheritance across apps can result in migrate not creating the table,[0 0 0 0 1],original
ProxyModelInheritanceTests,for the proxied model as described in #12286 .,[0 0 0 0 1],original
ProxyModelInheritanceTests,this test creates two dummy,[0 0 0 1 0],original
ProxyModelInheritanceTests,"apps and calls migrate, then verifies that the table has been created.",[0 0 0 1 0],original
RawPostDataException,you cannot access raw post data from a request that has,[0 0 0 0 1],original
RawPostDataException,"multipart post data if it has been accessed via post,",[0 0 0 1 1],original
RawPostDataException,"files, etc.",[0 0 0 1 1],original
RemoteTestRunner,run tests and record everything but don t display anything.,[0 0 0 0 1],original
RequestFactoryEnvironmentTests,regression tests for #8551 and #17067 ensure that environment variables,[0 0 0 1 1],original
RequestFactoryEnvironmentTests,are set correctly in requestfactory.,[0 0 0 1 1],original
ReverseGenericManyToOneDescriptor,accessor to the related objects manager on the one to many relation created,[0 0 0 0 1],original
ReverseGenericManyToOneDescriptor,by genericrelation.,[0 0 0 0 1],original
ReverseGenericManyToOneDescriptor,in the example,[1 0 0 0 0],original
ReverseGenericManyToOneDescriptor,class post model,[1 0 0 0 0],original
ReverseGenericManyToOneDescriptor,comments genericrelation comment,[1 0 0 0 0],original
ReverseGenericManyToOneDescriptor,post^comments is a reversegenericmanytoonedescriptor instance.,[1 0 0 0 0],original
SameAsLookup,the operator is the same as operator.,[0 0 0 1 1],original
SameAsLookup,it tests actual geometric,[0 0 0 1 1],original
SameAsLookup,equality of two features.,[0 0 0 1 1],original
SameAsLookup,"so if a and b are the same feature,",[0 0 0 1 1],original
SameAsLookup,"vertex by vertex, the operator returns true.",[0 0 0 1 1],original
Serializer,convert a queryset to json.,[0 0 0 0 1],original
SessionStorage,"store messages in the session that is, django^contrib.sessions .",[0 0 0 0 1],original
SessionStore,inside the custom session model.,[0 0 0 1 0],original
SimpleView,a simple view with a docstring.,[0 0 0 0 1],original
SpatialRefSysMixin,spatialrefsys objects to reduce redundant code.,[0 0 1 0 1],original
SplitHiddenDateTimeWidget,a widget that splits datetime input into two input type hidden inputs.,[0 0 0 0 1],original
SuccessMessageMixin,add a success message on successful form submission.,[0 0 0 0 1],original
TemplateDoesNotExist,the exception used when a template does not exist.,[0 0 0 0 1],original
TemplateDoesNotExist,optional arguments,[0 1 0 0 0],original
TemplateDoesNotExist,backend,[0 1 0 0 0],original
TemplateDoesNotExist,tried,[0 1 0 0 0],original
TemplateDoesNotExist,this,[0 1 0 0 0],original
TemplateDoesNotExist,"is formatted as a list of tuples containing origin, status , where",[0 1 0 0 0],original
TemplateDoesNotExist,origin is an origin object or duck type and status is a string with the,[0 1 0 0 0],original
TemplateDoesNotExist,reason the template wasn t found.,[0 1 0 0 0],original
TemplateDoesNotExist,chain,[0 1 0 0 0],original
TemplateDoesNotExist,a list of intermediate templatedoesnotexist exceptions.,[0 1 0 0 0],original
TemplateDoesNotExist,this is used to,[0 1 0 0 0],original
TemplateDoesNotExist,encapsulate multiple exceptions when loading templates from multiple,[0 1 0 0 0],original
TemplateDoesNotExist,engines.,[0 1 0 0 0],original
TestImageFieldFile,custom field file class that records whether or not the underlying file,[0 0 0 0 1],original
TestImageFieldFile,was opened.,[0 0 0 0 1],original
TestUtils,this doc output is required for testing.,[0 0 1 0 0],original
UniqueAnchor,this is a model that can be used as,[0 0 0 0 1],original
UniqueAnchor,something for other models to point at,[0 0 0 0 1],original
UpdateError,occurs if django tries to update a session that was deleted.,[0 0 0 0 1],original
UserCreationForm,"a form that creates a user, with no privileges, from the given username and",[0 1 0 0 1],original
UserCreationForm,password.,[0 1 0 0 1],original
VariableWrapper,an adapter class for cursor variables that prevents the wrapped object,[0 0 0 0 1],original
VariableWrapper,from being converted into a string when used to instantiate an oracleparam.,[0 0 0 0 1],original
VariableWrapper,this can be used generally for any other object that should be passed into,[1 0 0 0 0],original
VariableWrapper,cursor^execute as is.,[1 0 0 0 0],original
WindowFrame,model the frame clause in window expressions.,[0 0 0 0 1],original
WindowFrame,there are two types of frame,[0 0 0 1 0],original
WindowFrame,"clauses which are subclasses, however, all processing and validation by no",[0 0 0 1 0],original
WindowFrame,means intended to be complete is done here.,[0 0 0 1 0],original
XFrameOptionsDecoratorsTests,tests for the x frame options decorators.,[0 0 0 0 1],original
XFrameOptionsMiddleware,do not set the header if it s already set or if the response contains,[0 0 1 0 0],original
XFrameOptionsMiddleware,a xframe options exempt value set to true.,[0 0 1 0 0],original
XFrameOptionsMiddleware,"by default, set the x frame options header to sameorigin , meaning the",[1 0 1 0 0],original
XFrameOptionsMiddleware,response can only be loaded on a frame within the same site.,[1 0 1 0 0],original
XFrameOptionsMiddleware,"response from being loaded in a frame in any site, set x frame options in",[1 0 1 0 0],original
XFrameOptionsMiddleware,your project s django settings to deny .,[1 0 1 0 0],original
Audio,when this object is returned by an input cell or passed to the,[0 0 0 1 0],original
Audio,in the frontend only works in the notebook .,[0 0 0 1 0],original
Audio,can be one of,[0 1 0 0 0],original
Audio,numpy 2d array containing waveforms for each channel.,[0 1 0 0 0],original
Audio,"for the standard channel order, see",[0 1 0 0 0],original
Audio,list of float or integer representing the waveform mono,[0 1 0 0 0],original
Audio,bytestring containing raw pcm data or,[0 1 0 0 0],original
Audio,"if the array option is used, the waveform will be normalized.",[0 1 0 0 0],original
Audio,dependent.,[0 1 0 0 0],original
Audio,a url to download the data from.,[0 1 0 0 0],original
Audio,path to a local file to load the data from.,[0 1 0 0 0],original
Audio,embed boolean,[0 1 0 0 0],original
Audio,should the audio data be embedded using a data uri true or should,[0 1 0 0 0],original
Audio,the original source be referenced.,[0 1 0 0 0],original
Audio,set this to true if you want the,[0 1 0 0 0],original
Audio,audio to playable later with no internet connection in the notebook.,[0 1 0 0 0],original
Audio,"default is true , unless the keyword argument url is set, then",[0 1 0 0 0],original
Audio,default value is false .,[0 1 0 0 0],original
Audio,rate integer,[0 1 0 0 0],original
Audio,the sampling rate of the raw data.,[0 1 0 0 0],original
Audio,only required when data parameter is being used as an array,[0 1 0 0 0],original
Audio,autoplay bool,[0 1 0 0 0],original
Audio,set to true if the audio should immediately start playing.,[0 1 0 0 0],original
Audio,default is false .,[0 1 0 0 0],original
Audio,normalize bool,[0 1 0 0 0],original
Audio,whether audio should be normalized rescaled to the maximum possible,[0 1 0 0 0],original
Audio,range.,[0 1 0 0 0],original
Audio,"when set to false , data must be between",[0 1 0 0 0],original
Audio,"1 and 1 inclusive , otherwise an error is raised.",[0 1 0 0 0],original
Audio,applies only when data is a list or array of samples other types of,[0 1 0 0 0],original
Audio,audio are never normalized.,[0 1 0 0 0],original
Audio,# generate a sound,[1 0 0 0 0],original
Audio,import numpy as np,[1 0 0 0 0],original
Audio,framerate 44100,[1 0 0 0 0],original
Audio,"t np^linspace 0,5,framerate 5",[1 0 0 0 0],original
Audio,"audio data,rate framerate",[1 0 0 0 0],original
Audio,dataleft np^sin 2 np^pi 220 t,[1 0 0 0 0],original
Audio,"audio dataleft, dataright ,rate framerate",[1 0 0 0 0],original
Audio,audio url http www^w3schools^com html horse^ogg,[1 0 0 0 0],original
Audio,audio filename path to sound^ogg,[1 0 0 0 0],original
Audio,audio data b raw wav data.,[1 0 0 0 0],original
capture_output,context manager for capturing stdout err,[0 0 0 0 1],original
CellMagicRole,cross reference role displayed with a %% prefix,[0 0 0 0 1],original
DisplayHook,the custom ipython displayhook to replace sys^displayhook.,[0 0 0 0 1],original
DisplayHook,"this class does many things, but the basic idea is that it is a callable",[0 0 0 1 0],original
DisplayHook,that gets called anytime user code returns a value.,[0 0 0 1 0],original
DummyMod,a dummy module used for ipython s interactive module when,[0 0 0 0 1],original
DummyMod,a namespace must be assigned to the module s dict .,[0 0 0 0 1],original
GeoJSON,geojson expects json able dict,[0 0 0 0 1],original
HelpEnd,transformer for help syntax obj?,[0 0 0 0 1],original
HelpEnd,and obj?,[0 0 0 0 1],original
HistoryAccessor,access the history database without adding to it.,[0 0 0 0 1],original
HistoryAccessor,this is intended for use by standalone history tools.,[1 0 0 0 0],original
HistoryAccessor,ipython shells use,[1 0 0 0 0],original
HistoryAccessor,"historymanager, below, which is a subclass of this.",[1 0 0 0 0],original
InteractiveShellApp,as part of configuring a shell environment.,[0 0 0 0 1],original
InteractiveShellApp,the following methods should be called by the meth initialize method,[0 0 0 1 0],original
InteractiveShellApp,meth init path,[0 0 0 1 0],original
InteractiveShellApp,meth init shell to be implemented by the subclass,[0 0 0 1 0],original
InteractiveShellApp,meth init gui pylab,[0 0 0 1 0],original
InteractiveShellApp,meth init extensions,[0 0 0 1 0],original
InteractiveShellApp,meth init code,[0 0 0 1 0],original
LazyEvaluate,this is used for formatting strings with values that need to be updated,[0 0 1 0 0],original
LazyEvaluate,"at that time, such as the current time or working directory.",[0 0 1 0 0],original
Magics,shell functions which can be reached as %function name.,[0 0 1 0 0],original
Magics,"this can make some functions easier to type, eg%cd .",[0 0 1 0 0],original
Magics,vs. %cd .,[0 0 1 0 0],original
Magics,must,[1 0 0 0 0],original
Magics,use the method decorators @line magic and @cell magic to decorate,[1 0 0 0 0],original
Magics,"individual methods as magic functions, and",[1 0 0 0 0],original
Magics,use the class decorator @magics class to ensure that the magic,[1 0 0 0 0],original
Magics,methods are properly registered at the instance level upon instance,[1 0 0 0 0],original
Magics,initialization.,[1 0 0 0 0],original
MyFrame,this is myframe.,[0 0 0 0 1],original
MyFrame,"it just shows a few controls on a wxpanel,",[0 0 0 0 1],original
MyFrame,and has a simple menu.,[0 0 0 0 1],original
Obj,namespace to hold arbitrary information.,[0 0 0 0 1],original
RichPromptDisplayHook,subclass of base display hook using coloured prompt,[0 0 0 0 1],original
Struct,attribute style access.,[0 0 0 1 0],original
Struct,"protection of class members like keys, items when using attribute",[0 0 0 1 0],original
Struct,style access.,[0 0 0 1 0],original
Struct,the ability to restrict assignment to only existing keys.,[0 0 0 1 0],original
Struct,intelligent merging.,[0 0 0 1 0],original
Struct,overloaded operators.,[0 0 0 1 0],original
TBTools,basic tools used by all traceback printer classes.,[0 0 0 0 1],original
TermColors,color escape sequences.,[0 0 0 0 1],original
TermColors,colors in terminals.,[0 0 0 0 1],original
TermColors,"string, suitable for defining dummy color schemes in terminals which get",[0 0 0 0 1],original
TermColors,confused by color escapes.,[0 0 0 0 1],original
UserMagics,placeholder for user defined magics to be added at runtime.,[0 0 0 0 1],original
UserMagics,"all magics are eventually merged into a single namespace at runtime, but we",[0 0 1 1 0],original
UserMagics,their own class.,[0 0 1 1 0],original
YouTubeVideo,"class for embedding a youtube video in an ipython session, based on its video id.",[0 0 0 0 1],original
YouTubeVideo,"eg to embed the video from https www^youtube.com watch?v foo , you would",[1 0 0 0 0],original
YouTubeVideo,do,[1 0 0 0 0],original
YouTubeVideo,vid youtubevideo foo,[1 0 0 0 0],original
YouTubeVideo,display vid,[1 0 0 0 0],original
YouTubeVideo,to start from 30 seconds,[1 0 0 0 0],original
YouTubeVideo,"vid youtubevideo abc , start 30",[1 0 0 0 0],original
YouTubeVideo,display vid,[1 0 0 0 0],original
YouTubeVideo,"to calculate seconds from time as hours, minutes, seconds use",[1 0 0 0 0],original
YouTubeVideo,class datetime^timedelta,[1 0 0 0 0],original
YouTubeVideo,"start int timedelta hours 1, minutes 46, seconds 40 ^total seconds",[1 0 0 0 0],original
YouTubeVideo,other parameters can be provided as documented at,[1 1 0 0 0],original
YouTubeVideo,https developers^google.com youtube player parameters#parameters,[0 1 0 0 0],original
YouTubeVideo,"when converting the notebook using nbconvert, a jpeg representation of the video",[1 0 0 0 0],original
YouTubeVideo,will be inserted in the document.,[1 0 0 0 0],original
_MockPOP3,base mock that pretends to be a poplib pop3 connection.,[0 0 0 0 1],original
_MockPOP3,"pm pop3mailbox localhost , user bad , conn cls mockpop3",[1 0 0 0 0],original
_MockPOP3,traceback most recent call last,[1 0 0 0 0],original
_MockPOP3,accesserror,[1 0 0 0 0],original
